departamento,año,unidad,valor
Amazonas,1972,provincias,5
Amazonas,1972,distritos,77
Amazonas,1981,provincias,5
Amazonas,1981,distritos,78
Amazonas,1993,provincias,7
Amazonas,1993,distritos,83
Amazonas,2005,provincias,7
Amazonas,2005,distritos,83
Amazonas,2007,provincias,7
Amazonas,2007,distritos,84
Amazonas,2017,provincias,7
Amazonas,2017,distritos,84
San Martín,1940,provincias,6
San Martín,1940,distritos,35
San Martín,1961,provincias,6
San Martín,1961,distritos,53
San Martín,1972,provincias,6
San Martín,1972,distritos,69
San Martín,1981,provincias,6
San Martín,1981,distritos,69
San Martín,1993,provincias,10
San Martín,1993,distritos,77
San Martín,2005,provincias,10
San Martín,2005,distritos,77
San Martín,2007,provincias,10
San Martín,2007,distritos,77
San Martín,2017,provincias,10
San Martín,2017,distritos,77
Huánuco,1940,provincias,6
Huánuco,1940,distritos,42
Huánuco,1961,provincias,7
Huánuco,1961,distritos,66
Huánuco,1972,provincias,7
Huánuco,1972,distritos,68
Huánuco,1981,provincias,7
Huánuco,1981,distritos,68
Huánuco,1993,provincias,9
Huánuco,1993,distritos,74
Huánuco,2005,provincias,11
Huánuco,2005,distritos,76
Huánuco,2007,provincias,11
Huánuco,2007,distritos,76
Huánuco,2017,provincias,11
Huánuco,2017,distritos,84
Junín,1940,provincias,5
Junín,1940,distritos,72
Junín,1961,provincias,6
Junín,1961,distritos,103
Junín,1972,provincias,7
Junín,1972,distritos,120
Junín,1981,provincias,8
Junín,1981,distritos,122
Junín,1993,provincias,8
Junín,1993,distritos,123
Junín,2005,provincias,9
Junín,2005,distritos,123
Junín,2007,provincias,9
Junín,2007,distritos,123
Junín,2017,provincias,9
Junín,2017,distritos,124
Apurímac,1940,provincias,5
Apurímac,1940,distritos,36
Apurímac,1961,provincias,6
Apurímac,1961,distritos,58
Apurímac,1972,provincias,6
Apurímac,1972,distritos,69
Apurímac,1981,provincias,6
Apurímac,1981,distritos,69
Apurímac,1993,provincias,7
Apurímac,1993,distritos,76
Apurímac,2005,provincias,7
Apurímac,2005,distritos,80
Apurímac,2007,provincias,7
Apurímac,2007,distritos,80
Apurímac,2017,provincias,7
Apurímac,2017,distritos,84
